player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Pervis Estupiñán,Milan,Serie A,2025-2026,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,1
Petar Ratkov,Lazio,Serie A,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Petar Sucic,Inter,Serie A,2025-2026,23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,0
Pharell Hensel,Wolfsburg,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Phil Foden,Manchester City,Premier League,2025-2026,16,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,0
Philip Otele,Hamburger SV,Bundesliga,2025-2026,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,1
Philipp Köhn,Monaco,Ligue 1,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Philipp Lienhart,Freiburg,Bundesliga,2025-2026,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,1
Philipp Sander,Gladbach,Bundesliga,2025-2026,42,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,0
Philipp Treu,Freiburg,Bundesliga,2025-2026,27,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,0
Phillip Tietz,Augsburg,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0
Phillip Tietz,Mainz 05,Bundesliga,2025-2026,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,2,0
Phillipp Mwene,Mainz 05,Bundesliga,2025-2026,20,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,0
Piero Hincapié,Arsenal,Premier League,2025-2026,25,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,0
Piero Hincapié,Leverkusen,Bundesliga,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Pierre Højbjerg,Marseille,Ligue 1,2025-2026,24,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,4,0
Pierre Kalulu,Juventus,Serie A,2025-2026,35,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,3,1
Pierre Lees-Melou,Brest,Ligue 1,2025-2026,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Pierre Lees-Melou,Paris FC,Ligue 1,2025-2026,35,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,7,1
Pierre Mounguengue,Paris Saint-Germain,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Pierre-Emerick Aubameyang,Marseille,Ligue 1,2025-2026,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,0
Pierre-Yves Hamel,Paris FC,Ligue 1,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Pierrick Capelle,Angers,Ligue 1,2025-2026,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Pietro Comuzzo,Fiorentina,Serie A,2025-2026,15,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,0
Pietro Terracciano,Milan,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Piotr Zieliński,Inter,Serie A,2025-2026,18,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,0
Pol Lirola,Hellas Verona,Serie A,2025-2026,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Pol Lirola,Marseille,Ligue 1,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Pol Lozano,Espanyol,La Liga,2025-2026,19,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,12,1
Pontus Almqvist,Parma,Serie A,2025-2026,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Portu,Girona,La Liga,2025-2026,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0
Prosper Peter,Angers,Ligue 1,2025-2026,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0
Przemysław Frankowski,Rennes,Ligue 1,2025-2026,25,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5,0
Péter Gulácsi,RB Leipzig,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Quentin Merlin,Rennes,Ligue 1,2025-2026,38,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,0
Quentin Ndjantou Mbitcha,Paris Saint-Germain,Ligue 1,2025-2026,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Quilindschy Hartman,Burnley,Premier League,2025-2026,31,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0
Quinten Timber,Marseille,Ligue 1,2025-2026,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,0
Rabby Nzingoula,Strasbourg,Ligue 1,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1
Rachid Ghezzal,Lyon,Ligue 1,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Radosław Majecki,Brest,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
Radu Drăgușin,Tottenham Hotspur,Premier League,2025-2026,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Rafa Marín,Villarreal,La Liga,2025-2026,22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0
Rafa Mir,Elche,La Liga,2025-2026,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,4,0
Rafael Gonçalves,Strasbourg,Ligue 1,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Rafael Leão,Milan,Serie A,2025-2026,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,5,0
Rafel Obrador,Torino,Serie A,2025-2026,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0
Raffaele Di Gennaro,Inter,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Rafik Belghali,Hellas Verona,Serie A,2025-2026,13,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6,0
Rafik Messali,Toulouse,Ligue 1,2025-2026,6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,0
Rafiu Durosinmi,Pisa,Serie A,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,1
Ragnar Ache,Köln,Bundesliga,2025-2026,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,0
Rahim Bonkano,Oviedo,La Liga,2025-2026,18,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,0
Ramon Hendriks,Stuttgart,Bundesliga,2025-2026,15,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,0
Ramy Bensebaini,Dortmund,Bundesliga,2025-2026,14,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,0
Ramón Martínez,Sevilla,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Ramón Terrats,Espanyol,La Liga,2025-2026,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0
Randal Kolo Muani,Tottenham Hotspur,Premier League,2025-2026,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,3,0
Randy Nteka,Rayo Vallecano,La Liga,2025-2026,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0
Rani Khedira,Union Berlin,Bundesliga,2025-2026,35,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,7,0
Ransford Königsdörffer,Hamburger SV,Bundesliga,2025-2026,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2,0
Raoul Bellanova,Atalanta,Serie A,2025-2026,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0
Raphael Le Guen,Brest,Ligue 1,2025-2026,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Raphaël Guerreiro,Bayern Munich,Bundesliga,2025-2026,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Raphinha,Barcelona,La Liga,2025-2026,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,0
Rasmus Højlund,Napoli,Serie A,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,1,0
Rasmus Kristensen,Eintracht Frankfurt,Bundesliga,2025-2026,33,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,6,1
Rasmus Nicolaisen,Toulouse,Ligue 1,2025-2026,16,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,0
Rassoul Ndiaye,Le Havre,Ligue 1,2025-2026,32,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,0
Rav van den Berg,Köln,Bundesliga,2025-2026,8,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,1
Rayan,Bournemouth,Premier League,2025-2026,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Rayan Aït-Nouri,Manchester City,Premier League,2025-2026,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,0
Rayan Cherki,Manchester City,Premier League,2025-2026,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,0
Rayan Fofana,Lens,Ligue 1,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0
Rayan Philippe,Hamburger SV,Bundesliga,2025-2026,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2,0
Rayane Belaid,Atlético Madrid,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Razvan Sava,Udinese,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Raúl,Osasuna,La Liga,2025-2026,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,1
Raúl Albiol,Pisa,Serie A,2025-2026,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0
Raúl Asencio,Real Madrid,La Liga,2025-2026,12,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,0
Raúl Jiménez,Fulham,Premier League,2025-2026,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,5,0
Raúl Moro,Osasuna,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Reda Belahyane,Lazio,Serie A,2025-2026,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1
Reda Khadra,Le Havre,Ligue 1,2025-2026,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Reece James,Chelsea,Premier League,2025-2026,33,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,0
Reinildo Mandava,Sunderland,Premier League,2025-2026,21,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,7,1
Reiss Nelson,Brentford,Premier League,2025-2026,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Remo Freuler,Bologna,Serie A,2025-2026,30,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,5,0
Renato Marin,Paris Saint-Germain,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Renato Veiga,Villarreal,La Liga,2025-2026,9,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5,1
Renzo Saravia,Valencia,La Liga,2025-2026,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0
Ricardo Rodríguez,Real Betis,La Liga,2025-2026,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Riccardo Braschi,Fiorentina,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Riccardo Calafiori,Arsenal,Premier League,2025-2026,19,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,0
Riccardo Orsolini,Bologna,Serie A,2025-2026,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,0
Riccardo Sottil,Lecce,Serie A,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Richarlison,Tottenham Hotspur,Premier League,2025-2026,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,0
Ricky-Jade Jones,St Pauli,Bundesliga,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Rico Henry,Brentford,Premier League,2025-2026,11,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Rico Lewis,Manchester City,Premier League,2025-2026,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Ridle Baku,RB Leipzig,Bundesliga,2025-2026,40,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,0
Rio Ngumoha,Liverpool,Premier League,2025-2026,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Ritsu Doan,Eintracht Frankfurt,Bundesliga,2025-2026,23,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,0
Riyad Idrissi,Cagliari,Serie A,2025-2026,15,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,0
Robert Andrich,Leverkusen,Bundesliga,2025-2026,30,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,1
Robert Glatzel,Hamburger SV,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Robert Lewandowski,Barcelona,La Liga,2025-2026,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,0
Robert Skov,Union Berlin,Bundesliga,2025-2026,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Robert Sánchez,Chelsea,Premier League,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1
Roberto Férnandez,Espanyol,La Liga,2025-2026,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,3,0
Roberto Gagliardini,Hellas Verona,Serie A,2025-2026,40,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,9,0
Roberto Navarro,Athletic Club,La Liga,2025-2026,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0
Roberto Piccoli,Fiorentina,Serie A,2025-2026,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0
Robin Fellhauer,Augsburg,Bundesliga,2025-2026,43,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2,0
Robin Gosens,Fiorentina,Serie A,2025-2026,17,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,0
Robin Hack,Gladbach,Bundesliga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Robin Hranáč,Hoffenheim,Bundesliga,2025-2026,15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,0
Robin Koch,Eintracht Frankfurt,Bundesliga,2025-2026,27,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,3,1
Robin Le Normand,Atlético Madrid,La Liga,2025-2026,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,0
Robin Risser,Lens,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
Robin Roefs,Sunderland,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
Robin Zentner,Mainz 05,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
Robinio Vaz,Marseille,Ligue 1,2025-2026,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Robinio Vaz,Roma,Serie A,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Rocco Reitz,Gladbach,Bundesliga,2025-2026,42,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,8,1
Rodri,Manchester City,Premier League,2025-2026,23,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Rodrigo Bentancur,Tottenham Hotspur,Premier League,2025-2026,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,7,0
Rodrigo Gomes,Wolves,Premier League,2025-2026,18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Rodrigo Mendoza,Atlético Madrid,La Liga,2025-2026,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,0
Rodrigo Mendoza,Elche,La Liga,2025-2026,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,0
Rodrigo Muniz,Fulham,Premier League,2025-2026,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,0
Rodrigo Ribeiro,Augsburg,Bundesliga,2025-2026,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Rodrigo Riquelme,Real Betis,La Liga,2025-2026,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Rodrygo,Real Madrid,La Liga,2025-2026,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0
Rolando Mandragora,Fiorentina,Serie A,2025-2026,24,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,7,0
Romain Del Castillo,Brest,Ligue 1,2025-2026,36,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2,1
Romain Esse,Crystal Palace,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Romain Faivre,Auxerre,Ligue 1,2025-2026,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Romain Perraud,Lille,Ligue 1,2025-2026,31,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,1
Romaine Mundle,Sunderland,Premier League,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Roman Yaremchuk,Lyon,Ligue 1,2025-2026,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Romano Floriani,Cremonese,Serie A,2025-2026,14,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,0
Romano Schmid,Werder Bremen,Bundesliga,2025-2026,28,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,0
Romelle Donovan,Brentford,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Romelu Lukaku,Napoli,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Roméo Lavia,Chelsea,Premier League,2025-2026,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Ronald Araújo,Barcelona,La Liga,2025-2026,12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,0
Roony Bardghji,Barcelona,La Liga,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Rosen Bozhinov,Pisa,Serie A,2025-2026,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,1
Ross Barkley,Aston Villa,Premier League,2025-2026,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Rouven Tarnutzer,Freiburg,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ruben Aguilar,Lens,Ligue 1,2025-2026,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,1
Ruben Kluivert,Lyon,Ligue 1,2025-2026,10,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0
Ruben Lendinez,Valencia,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Ruben Loftus-Cheek,Milan,Serie A,2025-2026,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,0
Ruben Vargas,Sevilla,La Liga,2025-2026,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Rubén,Espanyol,La Liga,2025-2026,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,0
Rubén García,Osasuna,La Liga,2025-2026,31,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,6,0
Rudy Matondo,Auxerre,Ligue 1,2025-2026,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,0
Rudy Matondo,Paris FC,Ligue 1,2025-2026,14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,1
Rui Modesto,Udinese,Serie A,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ruslan Malinovskyi,Genoa,Serie A,2025-2026,19,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,10,0
Ryan Christie,Bournemouth,Premier League,2025-2026,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1
Ryan Gravenberch,Liverpool,Premier League,2025-2026,34,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,5,0
Ryan Rodin,Auxerre,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ryan Sessegnon,Fulham,Premier League,2025-2026,29,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0
Ryan Yates,Nottingham Forest,Premier League,2025-2026,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,0
Rémi Himbert,Lyon,Ligue 1,2025-2026,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Rémy Cabella,Nantes,Ligue 1,2025-2026,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Rémy Descamps,Lyon,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Rémy Labeau Lascary,Brest,Ligue 1,2025-2026,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2,0
Rômulo,RB Leipzig,Bundesliga,2025-2026,19,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,0
Rúben Dias,Manchester City,Premier League,2025-2026,6,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,0
Saba Goglichidze,Udinese,Serie A,2025-2026,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0
Sacha Boey,Bayern Munich,Bundesliga,2025-2026,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Sadibou Sané,Metz,Ligue 1,2025-2026,34,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,2
Sadik Fofana,Lecce,Serie A,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Sael Kumbedi,Lyon,Ligue 1,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Sael Kumbedi,Wolfsburg,Bundesliga,2025-2026,33,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,0
Said El Mala,Köln,Bundesliga,2025-2026,14,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,4,0
Salih Özcan,Dortmund,Bundesliga,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Salim Musah,Werder Bremen,Bundesliga,2025-2026,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Salis Abdul Samed,Nice,Ligue 1,2025-2026,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,0
Salomón Rondón,Oviedo,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,0
Sam Beukema,Napoli,Serie A,2025-2026,17,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,0
Sam Byram,Leeds United,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Sam Johnstone,Wolves,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Samba Konaté,RB Leipzig,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Sambou Soumano,Lorient,Ligue 1,2025-2026,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,0
Samir Chergui,Paris FC,Ligue 1,2025-2026,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,0
Samir El Mourabet,Strasbourg,Ligue 1,2025-2026,37,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,0
Samson Baidoo,Lens,Ligue 1,2025-2026,23,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,0
Samu Becerra,Rayo Vallecano,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Samu Costa,Mallorca,La Liga,2025-2026,37,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,10,0
Samuel Amo-Ameyaw,Strasbourg,Ligue 1,2025-2026,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Samuel Chukwueze,Fulham,Premier League,2025-2026,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Samuel Chukwueze,Milan,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Samuel Essende,Augsburg,Bundesliga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,0
Samuel Iling-Junior,Pisa,Serie A,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Samuel Mbangula,Werder Bremen,Bundesliga,2025-2026,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Samuel Nibombé,Monaco,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Samuele Angori,Pisa,Serie A,2025-2026,25,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,0
Samuele Inácio,Dortmund,Bundesliga,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,0
Samuele Ricci,Milan,Serie A,2025-2026,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,0
Sander Berge,Fulham,Premier League,2025-2026,40,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,5,0
Sander Tangvik,Hamburger SV,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Sandi Lovrić,Hellas Verona,Serie A,2025-2026,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Sandi Lovrić,Udinese,Serie A,2025-2026,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Sandro Kulenović,Torino,Serie A,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,0
Sandro Tonali,Newcastle United,Premier League,2025-2026,25,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,0
Santi Cazorla,Oviedo,La Liga,2025-2026,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1
Santi Comesaña,Villarreal,La Liga,2025-2026,25,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,5,1
Santiago Bueno,Wolves,Premier League,2025-2026,30,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,4,0
