player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Adam Karabec,Lyon,Ligue 1,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,0
Adam Kölle,Heidenheim,Bundesliga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Adam Marušić,Lazio,Serie A,2025-2026,16,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,1
Adam Masina,Torino,Serie A,2025-2026,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Adam Obert,Cagliari,Serie A,2025-2026,31,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,10,1
Adam Smith,Bournemouth,Premier League,2025-2026,11,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,0
Adam Wharton,Crystal Palace,Premier League,2025-2026,36,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,6,1
Adama Boiro,Athletic Club,La Liga,2025-2026,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Adama Camara,Paris FC,Ligue 1,2025-2026,30,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,8,0
Adama Traoré,Fulham,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Adama Traoré,West Ham United,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Ademola Lookman,Atalanta,Serie A,2025-2026,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0
Ademola Lookman,Atlético Madrid,La Liga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Adil Hamdani,Lyon,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Adnan Januzaj,Sevilla,La Liga,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
